OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ProviderName
USGS-MI,USGS Michigan Water Science Center,USGS-04058080,"BEAR CREEK AT COUNTY RD 565 NR PRINCETON, MI",Stream,NA,04030110,11.8,sq mi,NA,NA,46.3116094,-87.5506924,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058100,"MIDDLE BRANCH ESCANABA RIVER NR PRINCETON, MI",Stream,NA,04030110,210,sq mi,NA,NA,46.3171649,-87.5020817,24000,1,seconds,Interpolated from MAP.,NAD83,1103.02,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058120,"GREEN CREEK AT COUNTY HWY 565 NEAR PALMER, MI",Stream,NA,04030110,8.42,sq mi,NA,NA,46.372718,-87.6059696,24000,1,seconds,Interpolated from MAP.,NAD83,1230,feet,5,feet,Interpolated from topographic map.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058124,"GREEN CREEK 6 MI S OF PALMER, MI",Stream,NA,04030110,NA,NA,NA,NA,46.3563298,-87.5754144,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058130,"GREEN CREEK AT STATE HWY M-35 NR PRINCETON, MI",Stream,NA,04030110,13.8,sq mi,NA,NA,46.33410857,-87.5331925,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058170,"ELY CREEK NR NATIONAL MINE, MI",Stream,NA,04030110,9.25,sq mi,NA,NA,46.43410458,-87.6906911,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058200,"SCHWEITZER CREEK NEAR PALMER, MI",Stream,NA,04030110,23.6,sq mi,NA,NA,46.41104987,-87.6243028,24000,1,seconds,Interpolated from MAP.,NAD83,1268.45,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058300,"WARNER CREEK AT CO RD MK NR PALMER, MI",Stream,NA,04030110,14.2,sq mi,NA,NA,46.4024391,-87.5443035,24000,1,seconds,Interpolated from MAP.,NAD83,1190,feet,10,feet,Reported method of determination.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058337,"GOOSE LAKE INLET IN SECTION 8 NR PALMER, MI",Stream,NA,04030110,NA,NA,NA,NA,46.4813249,-87.580692,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058350,"GOOSE LAKE INLET AT RR TRACKS NEAR NEGAUNEE, MI",Stream,NA,04030110,9.57,sq mi,NA,NA,46.4749362,-87.5459701,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058370,"GOOSE LAKE OUTLET AT TRAIL ROAD NEAR PALMER, MI",Stream,NA,04030110,21.8,sq mi,NA,NA,46.43271569,-87.5101371,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058380,"GOOSE LAKE OUTLET 4.5 MI SE OF PALMER, MI",Stream,NA,04030110,32.8,sq mi,NA,NA,46.4102166,-87.5084705,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058400,"GOOSE LAKE OUTLET NR SANDS STATION, MI",Stream,NA,04030110,37.5,sq mi,NA,NA,46.3929951,-87.4937485,24000,1,seconds,Interpolated from MAP.,NAD83,1160,feet,10,feet,Interpolated from topographic map.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058482,"E BR ESCANABA RIVER 3 MI N OF GWINN, MI",Stream,NA,04030110,111,sq mi,NA,NA,46.32716468,-87.4429162,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058500,"EAST BRANCH ESCANABA RIVER AT GWINN, MI",Stream,NA,04030110,124,sq mi,NA,NA,46.28216665,-87.4354164,24000,1,seconds,Interpolated from MAP.,NAD83,1079.2,feet,0.1,feet,Reported method of determination.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058520,"ESCANABA RIVER 5 MI SOUTH OF GWINN, MI",Stream,NA,04030110,380,sq mi,NA,NA,46.20328106,-87.4323603,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058540,"W BR ESCANABA RIVER 10 MI N OF RALPH, MI",Stream,NA,04030110,65,sq mi,NA,NA,46.19577949,-87.7609677,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058570,"BRYAN CREEK AT COUNTY RD 438 NEAR NORTHLAND, MI",Stream,NA,04030110,68.1,sq mi,NA,NA,46.1852254,-87.566247,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059000,"ESCANABA RIVER AT CORNELL, MI",Stream,NA,04030110,870,sq mi,NA,NA,45.90891667,-87.2135278,24000,0.1,seconds,Differentially corrected Global Positioning System.,NAD83,749.36,feet,0.01,feet,Reported method of determination.,NAVD88,US,26,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-040590345,"ESCANABA RIVER AT WELLS, MI",Stream,NA,04030110,927,sq mi,NA,NA,45.78107879,-87.0676365,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059120,"FORD RIVER NR WATSON, MI",Stream,NA,04030109,230,sq mi,NA,NA,45.97828997,-87.4395791,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059130,"SOUTH BR FORD RIVER AT STATE HWY M-69 AT HELPS, MI",Stream,NA,04030109,9,sq mi,NA,NA,45.92884579,-87.5942984,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059135,"W BR FORD RIVER NR LABRANCHE, MI",Stream,NA,04030109,NA,NA,NA,NA,45.9419022,-87.4529115,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059140,"FORD RIVER NR WOODLAWN, MI",Stream,NA,04030109,330,sq mi,NA,NA,45.931348,-87.3568018,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059150,"FORD RIVER NR CORNELL, MI",Stream,NA,04030109,350,sq mi,NA,NA,45.8646843,-87.3115237,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059160,"TWENTY-FOUR MILE CREEK NR PERRONVILLE, MI",Stream,NA,04030109,9,sq mi,NA,NA,45.8541291,-87.3154123,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059170,"TENMILE CREEK AT STATE HWY M-69 AT FAUNUS, M",Stream,NA,04030109,8,sq mi,NA,NA,45.89329216,-87.5123538,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059180,"TENMILE CREEK AT LABRANCHE, MI",Stream,NA,04030109,19,sq mi,NA,NA,45.87273777,-87.46957629,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059190,"TENMILE CREEK NR LABRANCHE, MI",Stream,NA,04030109,23,sq mi,NA,NA,45.865794,-87.4284658,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059200,"TRIB TO TENMILE CREEK NEAR LABRANCHE, MI",Stream,NA,04030109,NA,NA,NA,NA,45.8988484,-87.4284665,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059210,"TRIB TO TENMILE CREEK NR MOUTH NR LABRANCHE, MI",Stream,NA,04030109,NA,NA,NA,NA,45.86912727,-87.4279104,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059250,"TENMILE CREEK NR WHITNEY, MI",Stream,NA,04030109,31,sq mi,NA,NA,45.8521839,-87.3867997,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059400,"TENMILE CREEK AT PERRONVILLE, MI",Stream,NA,04030109,39,sq mi,NA,NA,45.80940789,-87.3692993,24000,5,seconds,Interpolated from MAP.,NAD83,810,feet,5,feet,Interpolated from topographic map.,NGVD29,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059500,"FORD RIVER NEAR HYDE, MI",Stream,NA,04030109,450,sq mi,NA,NA,45.7549674,-87.2020793,24000,1,seconds,Interpolated from MAP.,NAD83,681.71,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,26,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059680,"BIG CEDAR RIVER NR SPALDING, MI",Stream,NA,04030109,27,sq mi,NA,NA,45.7832957,-87.528462,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059695,"W BR BIG CEDAR RIVER NR HERMANSVILLE, MI",Stream,NA,04030109,25,sq mi,NA,NA,45.77162929,-87.5415171,2400,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04059710,"FORTY-SEVEN MILE CREEK NR PERRONVILLE, MI",Stream,NA,04030109,18,sq mi,NA,NA,45.79774115,-87.4079093,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,109,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04061100,"PAINT RIVER AT GIBBS CITY, MI",Stream,NA,04030106,204,sq mi,NA,NA,46.229395,-88.70013399,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,071,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04062085,"PESHEKEE RIVER NEAR MARTINS LANDING, MI",Stream,NA,04030107,43.9,sq mi,NA,NA,46.609655,-88.022355,24000,1,seconds,Interpolated from MAP.,NAD83,1640,feet,10,feet,Interpolated from topographic map.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04062100,"PESHEKEE RIVER NR MICHIGAMME, MI",Stream,NA,04030107,66.5,sq mi,NA,NA,46.58187798,-87.9976332,24000,1,seconds,Interpolated from MAP.,NAD83,1598.01,feet,10,feet,Level or other surveyed method.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04062220,"SPURR RIVER AT MICHIGAMME, MI",Stream,NA,04030107,26.4,sq mi,NA,NA,46.5338248,-88.1376348,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,013,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04062230,"MICHIGAMME RIVER NR MICHIGAMME, MI",Stream,NA,04030107,194,sq mi,NA,NA,46.46660426,-88.0745797,24000,1,seconds,Interpolated from MAP.,NAD83,1520,feet,10,feet,Reported method of determination.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04062300,"MICHIGAMME RIVER AT REPUBLIC, MI",Stream,NA,04030107,240,sq mi,NA,NA,46.38410625,-87.9801345,24000,1,minutes,Interpolated from MAP.,NAD83,1480,feet,10,feet,Interpolated from topographic map.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04062320,"TROUT FALLS CREEK NR REPUBLIC, MI",Stream,NA,04030107,23.1,sq mi,NA,NA,46.37466208,-87.9912456,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04062400,"MICHIGAMME RIVER NEAR WITCH LAKE, MI",Stream,NA,04030107,316,sq mi,NA,NA,46.2466103,-88.0126343,24000,1,seconds,Interpolated from MAP.,NAD83,1384.25,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04065300,"WEST BRANCH STURGEON RIVER NEAR RANDVILLE, MI",Stream,NA,04030108,56.1,sq mi,NA,NA,46.01245095,-87.9787434,24000,1,seconds,Interpolated from MAP.,NAD83,1170,feet,10,feet,Interpolated from topographic map.,NGVD29,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04065400,"E B STURGEON RIVER AT FOSTER CITY, MI",Stream,NA,04030108,106,sq mi,NA,NA,45.9657878,-87.7417983,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04065500,"STURGEON RIVER NEAR FOSTER CITY, MI",Stream,NA,04030108,237,sq mi,NA,NA,45.90967826,-87.7567964,24000,1,seconds,Interpolated from MAP.,NAD83,966.6,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04065545,"STURGEON RIVER NR WAUCEDAH, MI",Stream,NA,04030108,271,sq mi,NA,NA,45.8294032,-87.7276274,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04065550,"PINE CREEK NR RANDVILLE, MI",Stream,NA,04030108,1.53,sq mi,NA,NA,45.96717426,-88.0079089,NA,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04065560,"GROVELAND MINE OUTLET NR RANDVILLE, MI",Stream,NA,04030108,3.4,sq mi,NA,NA,45.9741185,-88.0029091,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04065570,"PINE CREEK NEAR MERRIMAN, MI",Stream,NA,04030108,8.79,sq mi,NA,NA,45.9449527,-87.9870748,NA,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04065580,"MOUNTYS CREEK NR MERRIMAN, MI",Stream,NA,04030108,2.96,sq mi,NA,NA,45.9446749,-87.9898526,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04065590,"STEEL CREEK NR MERRIMAN, MI",Stream,NA,04030108,3.52,sq mi,NA,NA,45.94189718,-87.9926302,24000,1,minutes,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,043,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
