OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,Result
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01300005,Sample-Routine,Water,Surface Water,2012-10-04,11:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,"A-2790018 Quantity of chlorophyll sample passed through filter: 475.7mL L-2790018 X = Recvd warm GLRI CHY Frozen containers received warm at 1.8   Degrees C..  ok log warm chlorophyll per sullivan and dw, paa, 10/5/12",NA,Not determined,Routine sample,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,48.6,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2012-12-21,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2012-10-04T16:30:00Z,NA,48.6
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01900038,Sample-Routine,Water,Surface Water,2018-10-17,11:34:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,60,USGS parameter code 82398,Weighted bottle,Open-Mouth Bottle,NA,Chloride,Dissolved,40.1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2018-10-24,NA,NA,NA,NA,NA,NWIS,2018-10-17T16:34:00Z,NA,40.1
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01900293,Sample-Routine,Water,Surface Water,2019-02-06,11:34:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",Weighted-bottle sampler,NA,Chloride,Dissolved,75.4,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2019-02-12,NA,NA,NA,NA,NA,NWIS,2019-02-06T16:34:00Z,NA,75.4
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01200064,Sample-Routine,Water,Surface Water,2012-02-09,15:15:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,"L-0410052 ASR time corrected to match btls per Amanda, Indiana Harbor @ 1515, paa, 2/10/12   Fields corrected per Amanda, paa, 2/10/12",NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,58.3,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2012-03-07,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2012-02-09T20:15:00Z,NA,58.3
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01700091,Sample-Routine,Water,Surface Water,2017-01-04,13:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,"Stable, low stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-81 with Teflon cap and nozzle,NA,Chloride,Dissolved,45.8,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2017-01-10,NA,NA,NA,NA,NA,NWIS,2017-01-04T18:30:00Z,NA,45.8
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01300146,Sample-Routine,Water,Surface Water,2013-04-18,10:58:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,Not determined,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,42.6,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2013-06-11,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2013-04-18T15:58:00Z,NA,42.6
USGS-IN,USGS Indiana Water Science Center,nwisin.01.02000699,Sample-Routine,Water,Surface Water,2020-07-16,12:10:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,60,USGS parameter code 82398,Weighted bottle,US DH-81,NA,Chloride,Dissolved,47.2,mg/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-08-11,NA,NA,NA,NA,NA,NWIS,2020-07-16T17:10:00Z,NA,47.2
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01200059,Sample-Routine,Water,Surface Water,2011-12-01,14:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,56.6,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2011-12-15,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2011-12-01T19:30:00Z,NA,56.6
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01900981,Sample-Routine,Water,Surface Water,2019-08-21,09:44:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",Weighted-bottle sampler,NA,Chloride,Dissolved,45.2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2019-09-05,NA,NA,NA,NA,NA,NWIS,2019-08-21T14:44:00Z,NA,45.2
USGS-IN,USGS Indiana Water Science Center,nwisin.01.02000677,Sample-Routine,Water,Surface Water,2020-06-04,13:26:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,60,USGS parameter code 82398,Weighted bottle,US DH-81,NA,Chloride,Dissolved,55.9,mg/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-06-18,NA,NA,NA,NA,NA,NWIS,2020-06-04T18:26:00Z,NA,55.9
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01100085,Sample-Routine,Water,Surface Water,2011-05-13,04:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,"L-1360104 Received May 14, 2011",NA,Not determined,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,65.7,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2011-06-10,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2011-05-13T09:30:00Z,NA,65.7
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01500035,Sample-Routine,Water,Surface Water,2014-11-04,12:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,Not determined,Routine sample,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,54,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,"Report level code updated Oct., Nov. 2015. Reference: NWQL TM 2015.02 (RLC: LT-MDL => DLDQC)",00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2015-01-07,NA,NA,NA,NA,NA,NWIS,2014-11-04T17:30:00Z,NA,54
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01600053,Sample-Routine,Water,Surface Water,2015-11-03,14:00:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-81 with Teflon cap and nozzle,NA,Chloride,Dissolved,48.9,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2015-11-14,NA,NA,NA,NA,NA,NWIS,2015-11-03T19:00:00Z,NA,48.9
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01200184,Sample-Routine,Water,Surface Water,2012-05-01,15:59:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,"A-1310122 Quantity of chlorophyll sample passed through filter: 300mL L-1310122 CHY recvd warm, log in pending Sullivan, paa, 5/10/12   Received May 03, 2012  CHY recvd warm, ok log warm per Sullivan & Wydoski, paa, 5/22/12   Received May 3, 2012 Frozen containers received warm at 1.8   Degrees C",NA,Not determined,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,51.2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2012-06-12,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2012-05-01T20:59:00Z,NA,51.2
USGS-IN,USGS Indiana Water Science Center,nwisin.01.02000373,Sample-Routine,Water,Surface Water,2020-02-21,12:08:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,60,USGS parameter code 82398,Weighted bottle,US DH-81,NA,Chloride,Dissolved,61.3,mg/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-03-05,NA,NA,NA,NA,NA,NWIS,2020-02-21T17:08:00Z,NA,61.3
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01800677,Quality Control Sample-Field Replicate,Water,Surface Water,2018-09-04,12:43:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,sample not received in shipment,NA,"Stable, normal stage",Routine sample,60,USGS parameter code 82398,Weighted bottle,Open-Mouth Bottle,NA,Chloride,Dissolved,37.7,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2018-09-12,NA,NA,NA,NA,NA,NWIS,2018-09-04T17:43:00Z,NA,37.7
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01200180,Sample-Routine,Water,Surface Water,2012-05-01,00:59:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,"L-1250030 Received May 03, 2012",NA,Not determined,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,52.6,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2012-05-15,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2012-05-01T05:59:00Z,NA,52.6
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01800194,Sample-Routine,Water,Surface Water,2018-03-06,11:15:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,60,USGS parameter code 82398,Weighted bottle,Weighted-bottle sampler,NA,Chloride,Dissolved,49.1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2018-03-14,NA,NA,NA,NA,NA,NWIS,2018-03-06T16:15:00Z,NA,49.1
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01200223,Sample-Routine,Water,Surface Water,2012-07-19,20:59:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,"L-2050076 Received July 21, 2012   LC1571 not indicated as add or delete, LC1571 added,  CSH,  07/23/12",NA,Not determined,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,47.1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2012-09-06,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2012-07-20T01:59:00Z,NA,47.1
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01300128,Sample-Routine,Water,Surface Water,2013-04-11,22:58:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,"L-1070052 Received April 16, 2013",NA,Not determined,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,55.2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2013-05-31,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2013-04-12T03:58:00Z,NA,55.2
