OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,Result
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00303722,Sample-Routine,Water,Surface Water,2003-07-14,12:00:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2003-07-14T16:00:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.99900299,Sample-Routine,Water,Surface Water,1999-05-09,12:30:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,EPA method,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1999-05-09T16:30:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98000147,Sample-Routine,Water,Surface Water,1980-08-13,10:15:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,1.5,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1980-08-13T14:15:00Z,NA,1.5
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98500026,Sample-Routine,Water,Surface Water,1985-09-25,14:40:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,2.1,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,ADF02,USGS,"Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155",NA,NA,NA,NA,NA,NA,NA,NWIS,1985-09-25T18:40:00Z,NA,2.1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97500098,Sample-Routine,Water,Surface Water,1975-09-09,16:00:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,1.6,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1975-09-09T20:00:00Z,NA,1.6
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403757,Sample-Routine,Water,Surface Water,2004-09-28,14:20:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-09-28T18:20:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403748,Sample-Routine,Water,Surface Water,2004-04-06,12:30:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Spring breakup,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-04-06T16:30:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403749,Sample-Routine,Water,Surface Water,2004-05-04,11:30:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-05-04T15:30:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00601223,Sample-Routine,Water,Surface Water,2006-05-11,08:45:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2006-05-11T12:45:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00602552,Sample-Routine,Water,Surface Water,2006-08-24,10:00:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,3,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2006-08-24T14:00:00Z,NA,3
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00503487,Sample-Routine,Water,Surface Water,2004-10-26,10:00:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-10-26T14:00:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00503486,Sample-Routine,Water,Surface Water,2004-10-19,13:45:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-10-19T17:45:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98000149,Sample-Routine,Water,Surface Water,1980-09-17,10:50:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,1.8,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1980-09-17T14:50:00Z,NA,1.8
USGS-MI,USGS Michigan Water Science Center,nwismi.01.99900298,Sample-Routine,Water,Surface Water,1999-04-27,12:00:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,EPA method,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1999-04-27T16:00:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98400027,Sample-Routine,Water,Surface Water,1984-08-29,11:30:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, low stage",Regulated flow,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,1.8,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1984-08-29T15:30:00Z,NA,1.8
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97700086,Sample-Routine,Water,Surface Water,1977-05-09,11:30:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,1.5,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1977-05-09T15:30:00Z,NA,1.5
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97700094,Sample-Routine,Water,Surface Water,1977-08-18,12:00:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,1.5,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1977-08-18T16:00:00Z,NA,1.5
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403756,Sample-Routine,Water,Surface Water,2004-09-13,11:30:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,3,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-09-13T15:30:00Z,NA,3
USGS-MI,USGS Michigan Water Science Center,nwismi.01.99900301,Sample-Routine,Water,Surface Water,1999-06-17,09:30:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,EPA method,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1999-06-17T13:30:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.99900304,Sample-Routine,Water,Surface Water,1999-08-05,09:45:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,EPA method,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1999-08-05T13:45:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98000143,Sample-Routine,Water,Surface Water,1980-06-12,11:45:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,1.4,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1980-06-12T15:45:00Z,NA,1.4
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01100177,Sample-Routine,Water,Surface Water,2011-04-27,11:05:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Rising stage,Storm,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),2011-05-02,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2011-04-27T15:05:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.99900303,Sample-Routine,Water,Surface Water,1999-07-20,10:00:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,EPA method,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1999-07-20T14:00:00Z,NA,2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01200764,Sample-Routine,Water,Surface Water,2012-09-06,08:15:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, low stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,2.2,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),2012-09-11,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2012-09-06T12:15:00Z,NA,2.2
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97900117,Sample-Routine,Water,Surface Water,1979-09-25,12:15:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,1.8,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1979-09-25T16:15:00Z,NA,1.8
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97600102,Sample-Routine,Water,Surface Water,1976-09-21,11:00:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,2.9,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1976-09-21T15:00:00Z,NA,2.9
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97900116,Sample-Routine,Water,Surface Water,1979-09-05,10:40:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,2.1,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1979-09-05T14:40:00Z,NA,2.1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403753,Sample-Routine,Water,Surface Water,2004-07-07,13:00:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,"Stable, normal stage",Routine sample,4010,USGS parameter code 82398,Thief sample,Van Dorn sampler,NA,Chloride,Total,3,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-07-07T17:00:00Z,NA,3
