OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ProviderName
USGS-IN,USGS Indiana Water Science Center,USGS-413641086504200,"PINHOOK BOG @ I-80 NEAR PINHOOK, INDIANA",Stream,NA,04040001,NA,NA,NA,NA,41.61142989,-86.8450265,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413642086504300,PINHOOK BOG @ SALT STAR AREA NR. PINHOOK,Stream,NA,04040001,NA,NA,NA,NA,41.61170767,-86.8453043,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413649087165901,GRAND CALUMET R NR STEEL MILL LANDFILL @ E GARY,Stream,NA,04040001,NA,NA,NA,NA,41.61364758,-87.2830928,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413650086510302,PINHOOK BOG SOUTH 2FT BELOW MAT SURFACE,Stream,NA,04040001,NA,NA,NA,NA,41.61392979,-86.85086,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413650086510305,PINHOOK BOG SOUTH 5FT BELOW MAT SURFACE,Stream,NA,04040001,NA,NA,NA,NA,41.61392979,-86.85086,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413650086510307,PINHOOK BOG SOUTH 7FT BELOW MAT SURFACE,Stream,NA,04040001,NA,NA,NA,NA,41.61392979,-86.85086,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413652086510600,"PINHOOK BOG @ WOZNIAK ROAD NR PINHOOK, INDIANA",Stream,NA,04040001,NA,NA,NA,NA,41.6144853,-86.8516934,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413653086502900,"PINHOOK BOG NE NEAR PINHOOK, INDIANA",Stream,NA,04040001,NA,NA,NA,NA,41.61476326,-86.8414153,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413654086510200,"OPEN WATER PINHOOK BOG NR PINHOOK, INDIANA",Stream,NA,04040001,NA,NA,NA,NA,41.6150409,-86.8505823,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413654086510301,PINHOOK BOG WEST 1FT BELOW MAT  SURFACE,Stream,NA,04040001,NA,NA,NA,NA,41.61504089,-86.85086,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413654086510304,PINHOOK BOG WEST 4FT BELOW MAT  SURFACE,Stream,NA,04040001,NA,NA,NA,NA,41.61504089,-86.85086,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413654086510306,PINHOOK BOG WEST 6FT BELOW MAT  SURFACE,Stream,NA,04040001,NA,NA,NA,NA,41.61504089,-86.85086,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413701087030001,"COFFEE CREEK AT CHESTERTON, INDIANA",Stream,NA,04040001,NA,NA,NA,NA,41.61698268,-87.0500324,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413706087100501,BURNS DITCH @ HWY 12 NR OGDEN DUNES IND,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.6186111,-87.17638889,24000,1,seconds,Interpolated from MAP.,NAD83,613.91,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413710086502700,"NE INLET PINHOOK BOG NR PINHOOK, IND",Stream,NA,04040001,NA,NA,NA,NA,41.61948545,-86.8408598,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413716087281600,"IN HARBOR CANAL @151 ST. @ E CHICAGO,IN",Stream: Canal,NA,04040001,NA,NA,NA,NA,41.62114675,-87.4711524,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413717087025601,LITTLE CALUMET RIVER @ OLD SR 49,Stream,NA,04040001,NA,NA,NA,NA,41.62142709,-87.04892129,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413726086585001,LT CALUMET R @ 450 E RD NR BRUMNUTT ACRES IN,Stream,NA,04040001,NA,NA,NA,NA,41.62392775,-86.980586400000007,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413807087053500,"NIPSCO DITCH @ DUNE ACRES, IND.",Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.63531549,-87.0930891,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413813087023301,DUNES TRIB DUNES C @ US 20,Stream,NA,04040001,NA,NA,NA,NA,41.6369825,-87.0425325,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413813087060304,SURFACE WATER ON N SIDE OF DIKE,Stream,NA,04040001,NA,NA,NA,NA,41.63698208,-87.1008671,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413814087060300,BETHLEHEM STEEL CULVERT AT DUNE ACRES IND,Stream,NA,04040001,NA,NA,NA,NA,41.63725986,-87.1008671,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413820087060902,SURFACE H2O ON E. SIDE ON DIKE,Stream,NA,04040001,NA,NA,NA,NA,41.6389265,-87.1025339,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413820087061001,SURFACE H2O ON W SIDE OF DIKE,Stream,NA,04040001,NA,NA,NA,NA,41.6389265,-87.1028116,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413822087281601,IN HRB CNL AT COLUMBUS DR AT E CHI IN,Stream,NA,04040001,NA,NA,NA,NA,41.63948008,-87.4711527,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413825087051300,"COWLES BOG SITE 2, RD 100 W. @ DUNE ACRES, IND.",Stream,NA,04040001,NA,NA,NA,NA,41.64031549,-87.08697799,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413830087055300,W INLET COWLES BOG AT DUNE ACRES IND,Stream,NA,04040001,NA,NA,NA,NA,41.64170429,-87.0980894,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413838087040101,"MARKOWITZ DIT TRIB 4 PORTER, IND.",Stream,NA,04040001,NA,NA,NA,NA,41.6439267,-87.0669776,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413839087051200,"COWLES BOG AT 100 W RD AT DUNE ACRES, IND",Stream,NA,04040001,NA,NA,NA,NA,41.64420435,-87.0867003,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413845087040101,"MARKOWITZ DIT. TRIB 3 PORTER, IND.",Stream,NA,04040001,NA,NA,NA,NA,41.64587114,-87.0669777,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413848087285201,LK GEORGE CNL AT INDPLS BLVD AT E CHI IN,Stream,NA,04040001,NA,NA,NA,NA,41.64670226,-87.481153,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413849087040101,"MARKOWITZ DIT. TRIB 2 PORTER, IND.",Stream,NA,04040001,NA,NA,NA,NA,41.64698224,-87.0669777,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413852087040101,"MARKOWITZ DIT TRIB 1 @ PORTER, IND.",Stream,NA,04040001,NA,NA,NA,NA,41.64781557,-87.06697769,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413855087052200,"N. INLET COWLES BOG DUNE ACRES, IND.",Stream,NA,04040001,NA,NA,NA,NA,41.6486487,-87.0894782,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413857087280301,IN HRB CNL ADJ TO CANAL ST AT E CHI IN,Stream: Canal,NA,04040001,NA,NA,NA,NA,41.6492023,-87.4675417,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413904087023600,"DUNES CREEK US HWY 12 @ TREMONT, INDIANA",Stream,NA,04040001,NA,NA,NA,NA,41.651149,-87.0433661,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413907087040100,"MARKOWITZ DITCH AT PORTER, INDIANA",Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.65198219,-87.0669778,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413907087040201,DUNES CRK-WAVERLY,Stream,NA,04040001,NA,NA,NA,NA,41.65198219,-87.0672555,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413919087273201,IN HRB CNL AT DICKEY RD AT E CHI IN,Stream,NA,04040001,NA,NA,NA,NA,41.65531345,-87.4589306,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413925087025900,"TRIB TO DUNES CREEK @ DUNES STATE PARK, INDIANA",Stream,NA,04040001,NA,NA,NA,NA,41.65698227,-87.0497553,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413945087034400,"DUNES CREEK @ DUNES STATE PARK, INDIANA",Stream,NA,04040001,NA,NA,NA,NA,41.66253768,-87.0622556,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413952087264701,IN HRB CNL AT LTV OUTFALL 007 AT E CHI IN,Stream: Canal,NA,04040001,NA,NA,NA,NA,41.66448016,-87.4464305,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413957087002604,"USGS DUNES 211-8-SW NR BEVERLY SHORES,IN.",Stream,NA,04040001,NA,NA,NA,NA,41.66587135,-87.0072545,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414005086594500,"SO. DERBY DIT TRIB #2 @ BEVERLY SHORES, IND.",Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.66809367,-86.9958654,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414031086593700,"DERBY DIT @ JONES AVE. @ BEVERLY SHORES, IND.",Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.67531584,-86.9936432,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414035086574401,"USGS SITE DD-72 NR PINES,IN.",Stream,NA,04040001,NA,NA,NA,NA,41.67642746,-86.9622534,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414043086572801,TRIB TO BROWN DIT AB CONFLU OF ASH FILL RUNOF,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.6786497,-86.9578089,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414045086591501,CUL 503 NE BEVERLY DR-PEARSON AT BEVERLY SHORES,Stream,NA,04040001,NA,NA,NA,NA,41.68066667,-86.9876111,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,597.68,feet,0.02,feet,Level or other surveyed method.,NGVD29,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414046086572701,ASH FILL RUNOFF NR PINES IN,Stream,NA,04040001,NA,NA,NA,NA,41.67948306,-86.95753109,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414046086592101,"W. DERBY DIT TRB @ BRDY. ST. BEVERLY SHORES, IN.",Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.6794825,-86.9891987,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414051086542401,"STREIBIL ARM US 20 MICHIGAN CITY, IND.",Stream,NA,04040001,NA,NA,NA,NA,41.68087278,-86.9066963,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414052086554001,"KINTZELE US 20 MICHIGAN CITY, IND.",Stream,NA,04040001,NA,NA,NA,NA,41.6811502,-86.927808,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414104086583601,E DERBY DIT TRIB AT WELLS ST AT BEV SHORES IND,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.68448269,-86.9766984,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414106086583701,"CUL 602 NE BEVERLY AND WELLS AT BEVERLY SHORES, IN",Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.6849271,-86.9769484,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,600,feet,1,feet,Level or other surveyed method.,NGVD29,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414106086585801,CUL 603 SE IDLER AND ST CLAIR AT BEVERLY SHORES,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.6849548,-86.9828375,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,599,feet,1,feet,Level or other surveyed method.,NGVD29,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414107086571900,BROWN DIT AT U S HWY 12 AT PINES IND,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.68531637,-86.9553089,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,607,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414107086592800,"DERBY DIT OUTLET, BEVERLY SHORES, IND.",Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.68526944,-86.9995278,24000,3,seconds,Interpolated from Digital MAP.,NAD83,588,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414111086572201,"USGS SITE BD-IDNL NR PINES,IN.",Stream,NA,04040001,NA,NA,NA,NA,41.68642745,-86.9561423,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414149086560800,KINTZELE DIT AT US HWY 12 AT PINES IND,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.69698325,-86.9355863,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-414153086540801,STREIBIL ARM @ HITCHCOCK RD MICH CITY IND,Stream,NA,04040001,NA,NA,NA,NA,41.6980949,-86.902252,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
